restaurant_id,latitude,longitude
647.0,44.4955093,11.3308828
648.0,45.4742492,10.538754851181592
649.0,45.4944323,10.8764017
650,n_a,n_a
651.0,45.4729362,10.88476
652.0,45.4022456,11.2689576
653.0,45.5070696,10.7325976
654,n_a,n_a
655,n_a,n_a
656.0,37.286958,-121.94757192307692
657,n_a,n_a
658,n_a,n_a
659,n_a,n_a
660.0,43.5522945,7.0155485
661,n_a,n_a
662.0,45.3536653,10.7342429
663,n_a,n_a
664.0,45.4690445,9.1818105
665.0,45.4452159,10.9868739
666,n_a,n_a
667.0,45.43457,10.83308
668,n_a,n_a
669,n_a,n_a
670,n_a,n_a
671.0,45.664668,12.2425035
672,n_a,n_a
673.0,43.7573364,11.2406881
674.0,45.4374459,12.3326214
675.0,42.4195347,12.1028644
676.0,45.5843936,9.2803706
677.0,45.5678341,11.9510858
678,n_a,n_a
679,n_a,n_a
680,n_a,n_a
681,n_a,n_a
682.0,45.4520165,10.988405
683.0,45.4442255,10.9644587
684.0,45.3894023,10.9536142
685.0,37.1240071,25.2376934
686.0,36.03109105,-78.9367812723593
687,n_a,n_a
688,n_a,n_a
689.0,51.4013651,-0.1952957
690.0,26.141888889806808,-81.79545043885177
691.0,43.7663467,11.2497532
692.0,41.9003641,12.4675974
693.0,51.0066383,-2.1956094
694.0,44.3443124,7.762587
695.0,47.1645791,8.5267458
696,n_a,n_a
697.0,44.0476729,8.2177504
698.0,53.5451031,-2.6335147
699,n_a,n_a
700.0,45.6933176,9.668991
701,n_a,n_a
702.0,45.4417166,10.9944324
703,n_a,n_a
704.0,45.6951888,9.6668932
705,n_a,n_a
706,n_a,n_a
707.0,45.4094611,11.8703424
708.0,44.8038009,10.3248612
709.0,45.4919938,10.6082868
710,n_a,n_a
711,n_a,n_a
712,n_a,n_a
713.0,48.1421654,17.1086494
714.0,45.6487663,13.7649929
715,n_a,n_a
716.0,45.5481438,10.720562
717.0,45.7622219,10.8082474
718,n_a,n_a
719,n_a,n_a
720.0,45.5053858,10.731471
721,n_a,n_a
722.0,45.5771393,10.7042906
723.0,45.5748456,10.7095473
724.0,45.4181861,10.9730773
725.0,45.417593,10.9858762
726.0,45.5000018,11.0775968
727.0,45.4352557,10.6473909
728.0,45.4415445,10.6778735
729.0,45.4387243,10.6943034
730,n_a,n_a
731.0,39.0707978,-0.4866646
732,n_a,n_a
733,n_a,n_a
734.0,45.0669366,7.6977088
735,n_a,n_a
736,n_a,n_a
737.0,45.5425375,10.2189116
738.0,37.678359819095476,-120.97593369346734
739,n_a,n_a
740.0,45.4431493,10.7352822
741,n_a,n_a
742.0,45.1940691,11.3061486
743.0,39.91235327516779,-86.0659676442953
744,n_a,n_a
745.0,38.9199651,-77.22946710900578
746.0,45.1582975,10.794896
747.0,40.7835594,-73.9527947
748.0,46.5013603,11.3574364
749.0,46.5013603,11.3574364
750,n_a,n_a
751.0,40.2081536,-8.4306895
752,n_a,n_a
753,n_a,n_a
754,n_a,n_a
755,n_a,n_a
756,n_a,n_a
757,n_a,n_a
758,n_a,n_a
759.0,45.4721952,9.1869296
760.0,44.4957393,11.3471445
761.0,45.2904985,11.7835315
762,n_a,n_a
763.0,44.4192098,12.1996872
764.0,44.1198368,9.7074889
765.0,44.3482318,9.2296653
766.0,45.5145273,11.4589029
767.0,45.5479247,11.5464984
768,n_a,n_a
769,n_a,n_a
770,n_a,n_a
771.0,41.9088044,12.4888676
772.0,41.9121665,12.5029981
773,n_a,n_a
774,n_a,n_a
775,n_a,n_a
776.0,40.7233997,-73.9965186
777,n_a,n_a
778,n_a,n_a
779.0,44.9930594,10.7473907
780.0,45.6069449,10.52923702224625
781,n_a,n_a
782,n_a,n_a
783.0,45.4443484,11.9797741
784.0,45.4272469,10.9863179
785,n_a,n_a
786,n_a,n_a
787.0,45.4563953,9.2171851
788,n_a,n_a
789.0,47.7569696,1.5017887
790.0,47.7569696,1.5017887
791.0,45.4379781,10.9912504
792.0,45.3517096,10.8445055
793.0,45.4413338,10.9804122
794,n_a,n_a
795,n_a,n_a
796.0,47.7569696,1.5017887
797.0,45.8135316,9.0813189
798.0,45.5002442,11.5349875
799.0,45.5338804,11.4767665
800.0,45.5765049,10.7085325
801.0,37.797608,-122.432067
802,n_a,n_a
803.0,51.5380254,-0.1027358
804,n_a,n_a
805,n_a,n_a
806,n_a,n_a
807,n_a,n_a
808.0,45.5749352,10.7078866
809,n_a,n_a
810.0,45.4149871,10.8953445
811,n_a,n_a
812.0,45.3998599,10.7737589
813.0,46.6418921,11.6814382
814,n_a,n_a
815,n_a,n_a
816.0,45.5209012,11.3335995
817,n_a,n_a
818.0,45.4687139,9.1913313
819,n_a,n_a
820,n_a,n_a
821.0,45.5446419,11.5484005
822.0,40.8347854,14.2411448
823,n_a,n_a
824,n_a,n_a
825.0,45.5325826,10.2036705
826.0,41.9086799,12.4551632
827,n_a,n_a
828,n_a,n_a
829,n_a,n_a
830.0,49.1916327,-123.13096
831,n_a,n_a
832.0,45.9174613,10.8328756
833.0,44.5126565,11.3521739
834,n_a,n_a
835.0,45.479046,9.1628514
836.0,45.654414,13.7748125
837.0,45.5287235,11.4978277
838.0,45.4929532,10.6071494
839.0,32.2723653,-110.8926105
840,n_a,n_a
841.0,45.4372424,12.3392356
842,n_a,n_a
843.0,45.4150432,11.8755756
844,n_a,n_a
845.0,45.3309425,10.7852568
846,n_a,n_a
847.0,47.7569696,1.5017887
848,n_a,n_a
849.0,45.4399613,12.3278387
850,n_a,n_a
851.0,45.5759618,10.7063727
852,n_a,n_a
853.0,45.4331092,10.8715356
854.0,37.7768809,-122.4239665
855.0,44.4929765,11.3447837
856.0,45.5771393,10.7042906
857,n_a,n_a
858.0,45.55114615,10.791466084258278
859,n_a,n_a
860.0,45.4209876,11.2482703
861.0,45.5046241,10.7964358
862.0,45.5849908,10.7302925
863.0,45.4418523,10.9964109
864.0,45.4506641,10.962437
865,n_a,n_a
866.0,45.3950155,11.2704317
867,n_a,n_a
868,n_a,n_a
869.0,45.5743146,10.7091261
870,n_a,n_a
871,n_a,n_a
872,n_a,n_a
873.0,45.4404476,10.7002095
874.0,45.6055315,10.8057343
875.0,52.3753991,4.8938773
876.0,37.5543706,-77.4844517
877,n_a,n_a
878.0,-37.562262950000004,143.85698894552883
879.0,47.7569696,1.5017887
880,n_a,n_a
881,n_a,n_a
882,n_a,n_a
883.0,45.1579479,10.7992216
884,n_a,n_a
885,n_a,n_a
886.0,45.4689132,10.5408961
887,n_a,n_a
888,n_a,n_a
889.0,46.5746069,11.6711162
890.0,45.9549015,12.6602709
891.0,47.5061505,19.0379733
892,n_a,n_a
893.0,41.6969417,12.7076444
894.0,45.4532129,12.1463957
895,n_a,n_a
